language,enjoyment,assess,age,gender,education,problems,fairprice,start_time,time_taken,phaseseed,own_stance,anon_workerid,own_stance_index
english,2,Yes,33,Female,1,I noticed no problems during the experiment.,$2.00,1591147115953,6.702616666666667,1,"[{'trial_type': 'own_stance', 'response': 0.92}, {'trial_type': 'own_stance', 'response': 0.86}, {'trial_type': 'own_stance', 'response': 0.47}, {'trial_type': 'own_stance', 'response': 0.91}]",11,2.22
english,2,Yes,26,Male,2,no,NA,1591147691227,7.7426,0,"[{'trial_type': 'own_stance', 'response': 0.79}, {'trial_type': 'own_stance', 'response': 0.66}, {'trial_type': 'own_stance', 'response': 0.5}, {'trial_type': 'own_stance', 'response': 0.75}]",12,1.7
english,1,Yes,38,Male,3,NONE,2,1591147825766,5.649616666666667,0,"[{'trial_type': 'own_stance', 'response': 0.54}, {'trial_type': 'own_stance', 'response': 0.24}, {'trial_type': 'own_stance', 'response': 0.65}, {'trial_type': 'own_stance', 'response': 0.62}]",13,0.75
english,2,Yes,31,Female,3,NA,NA,1591148683791,3.821083333333333,1,"[{'trial_type': 'own_stance', 'response': 0.83}, {'trial_type': 'own_stance', 'response': 0.79}, {'trial_type': 'own_stance', 'response': 0.75}, {'trial_type': 'own_stance', 'response': 0.83}]",14,1.7
english,2,Yes,36,Male,3,none,2.00,1591148794424,4.5498,1,"[{'trial_type': 'own_stance', 'response': 0.93}, {'trial_type': 'own_stance', 'response': 0.95}, {'trial_type': 'own_stance', 'response': 0.4}, {'trial_type': 'own_stance', 'response': 0.97}]",15,2.45
english,1,Yes,34,Female,1,NA,2.00,1591149095929,4.25935,0,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 1}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.93}]",16,2.89
english,2,Yes,39,Male,3,"No, everything was fine",2.00,1591149261444,4.389383333333333,1,"[{'trial_type': 'own_stance', 'response': 1}, {'trial_type': 'own_stance', 'response': 1}, {'trial_type': 'own_stance', 'response': 0}, {'trial_type': 'own_stance', 'response': 1}]",17,3
english,1,Yes,28,Male,3,No problems or bugs :),1.00,1591146494402,4.894983333333333,0,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.03}, {'trial_type': 'own_stance', 'response': 0.98}]",18,2.89
english,2,Yes,39,Female,3,no,2,1591146577687,4.97825,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.84}, {'trial_type': 'own_stance', 'response': 0.52}, {'trial_type': 'own_stance', 'response': 0.88}]",19,2.11
englsih,1,Yes,42,Male,2,none,2,1591146595900,6.433183333333333,1,"[{'trial_type': 'own_stance', 'response': 0.92}, {'trial_type': 'own_stance', 'response': 0.49}, {'trial_type': 'own_stance', 'response': 0.71}, {'trial_type': 'own_stance', 'response': 0.9}]",20,1.6
english,2,Yes,25,Female,3,none,2,1591147887964,4.386166666666667,0,"[{'trial_type': 'own_stance', 'response': 0.78}, {'trial_type': 'own_stance', 'response': 0.94}, {'trial_type': 'own_stance', 'response': 0.01}, {'trial_type': 'own_stance', 'response': 0.98}]",21,2.69
english,1,Yes,33,Female,3,NA,NA,1591148380806,4.722216666666666,0,"[{'trial_type': 'own_stance', 'response': 0.12}, {'trial_type': 'own_stance', 'response': 0.16}, {'trial_type': 'own_stance', 'response': 0.72}, {'trial_type': 'own_stance', 'response': 0.87}]",22,0.43
english,2,Yes,55,Male,2,no,2,1591148446533,5.94765,0,"[{'trial_type': 'own_stance', 'response': 0.95}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.28}, {'trial_type': 'own_stance', 'response': 0.92}]",23,2.55
english,2,Yes,30,Male,3,No,2.50,1591149543225,6.662466666666667,0,"[{'trial_type': 'own_stance', 'response': 0.99}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0}, {'trial_type': 'own_stance', 'response': 0.99}]",24,2.96
