response,trial_type,stim,workerid,subj,verb,verb_cat,cc,cc_float,language,enjoyment,assess,age,gender,education,problems,fairprice,start_time,time_taken,phaseseed,own_stance,own_stance_index,verb_cat_float,subj_float
0.84,one_slider,"{'subject': 'Researchers', 'verb': 'point out', 'comp': 'parents should have a choice in whether they vaccinate their children'}",0,Researchers,point out,pos,parents should have a choice in whether they vaccinate their children,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,1,2
0.8,one_slider,"{'subject': 'Researchers', 'verb': 'believe', 'comp': 'vaccines pose non-trivial risks'}",0,Researchers,believe,neut,vaccines pose non-trivial risks,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,2
0.89,one_slider,"{'subject': 'Scientists', 'verb': 'believe', 'comp': 'vaccines are not as effective as people think'}",0,Scientists,believe,neut,vaccines are not as effective as people think,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,1
0.85,one_slider,"{'subject': 'Doctors', 'verb': 'argue', 'comp': 'people have sometimes still gotten sick, even after being vaccinated against the illness'}",0,Doctors,argue,neg,people have sometimes still gotten sick,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,-1,3
0.57,one_slider,"{'subject': 'Scientists', 'verb': 'believe', 'comp': 'getting vaccinated can pose serious risks'}",0,Scientists,believe,neut,getting vaccinated can pose serious risks,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,1
0.36,one_slider,"{'subject': 'Researchers', 'verb': 'say', 'comp': 'the mercury contained in vaccines is linked to autism risk'}",0,Researchers,say,neut,the mercury contained in vaccines is linked to autism risk,-1.000000,english,1,Yes,21,Female,3,no,2.00,1591146493274,4.6865,0,"[{'trial_type': 'own_stance', 'response': 0.91}, {'trial_type': 'own_stance', 'response': 0.96}, {'trial_type': 'own_stance', 'response': 0.08}, {'trial_type': 'own_stance', 'response': 0.79}]",2.58,0,2
0.73,one_slider,"{'subject': 'Doctors', 'verb': 'believe', 'comp': 'concerns over vaccine injuries are generally unfounded'}",1,Doctors,believe,neut,concerns over vaccine injuries are generally unfounded,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,3
0,one_slider,"{'subject': 'Scientists', 'verb': 'claim', 'comp': 'vaccines are not as safe as many people imagine'}",1,Scientists,claim,neg,vaccines are not as safe as many people imagine,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,1
0.84,one_slider,"{'subject': 'Doctors', 'verb': 'say', 'comp': 'vaccinating children is a crucial measure for public health'}",1,Doctors,say,neut,vaccinating children is a crucial measure for public health,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,3
0.49,one_slider,"{'subject': 'Researchers', 'verb': 'find', 'comp': 'thimerosol, an active ingredient in the measles vaccine, can cause seizures'}",1,Researchers,find,pos,thimerosol,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,2
0,one_slider,"{'subject': 'Researchers', 'verb': 'find', 'comp': 'vaccines were responsible for some cases of autism in children'}",1,Researchers,find,pos,vaccines were responsible for some cases of autism in children,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,2
0.96,one_slider,"{'subject': 'Scientists', 'verb': 'believe', 'comp': 'the vaccine-autism link is entirely a myth'}",1,Scientists,believe,neut,the vaccine-autism link is entirely a myth,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,1
0.99,one_slider,"{'subject': 'Scientists', 'verb': 'suspect', 'comp': 'children should be required to get vaccinated'}",1,Scientists,suspect,pos,children should be required to get vaccinated,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,1
0.02,one_slider,"{'subject': 'Doctors', 'verb': 'think', 'comp': 'the campaign to get children vaccinated is driven in large part by drug companies'}",1,Doctors,think,neut,the campaign to get children vaccinated is driven in large part by drug companies,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,3
0.03,one_slider,"{'subject': 'Researchers', 'verb': 'show', 'comp': 'many children have shown adverse reactions to vaccines'}",1,Researchers,show,pos,many children have shown adverse reactions to vaccines,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,2
0.02,one_slider,"{'subject': 'Doctors', 'verb': 'suspect', 'comp': 'parents should have a choice in whether they vaccinate their children'}",1,Doctors,suspect,pos,parents should have a choice in whether they vaccinate their children,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,3
0.02,one_slider,"{'subject': 'Doctors', 'verb': 'argue', 'comp': 'the mercury contained in vaccines is linked to autism risk'}",1,Doctors,argue,neg,the mercury contained in vaccines is linked to autism risk,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,3
0.06,one_slider,"{'subject': 'Scientists', 'verb': 'say', 'comp': 'vaccines pose non-trivial risks'}",1,Scientists,say,neut,vaccines pose non-trivial risks,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,1
0.52,one_slider,"{'subject': 'Scientists', 'verb': 'claim', 'comp': 'vaccines do not guarantee immunity'}",1,Scientists,claim,neg,vaccines do not guarantee immunity,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,1
0.99,one_slider,"{'subject': 'Scientists', 'verb': 'think', 'comp': 'vaccines are a safe and effective way to save lives'}",1,Scientists,think,neut,vaccines are a safe and effective way to save lives,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,1
0.98,one_slider,"{'subject': 'Scientists', 'verb': 'show', 'comp': 'there is no link between vaccines and autism'}",1,Scientists,show,pos,there is no link between vaccines and autism,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,1
0.46,one_slider,"{'subject': 'Doctors', 'verb': 'insist', 'comp': 'people have sometimes still gotten sick, even after being vaccinated against the illness'}",1,Doctors,insist,neg,people have sometimes still gotten sick,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,3
0.98,one_slider,"{'subject': 'Doctors', 'verb': 'point out', 'comp': 'vaccines do not cause autism'}",1,Doctors,point out,pos,vaccines do not cause autism,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,3
0.97,one_slider,"{'subject': 'Scientists', 'verb': 'think', 'comp': 'many diseases can be contained with vaccines'}",1,Scientists,think,neut,many diseases can be contained with vaccines,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,1
0.98,one_slider,"{'subject': 'Researchers', 'verb': 'claim', 'comp': 'vaccines have saved countless lives'}",1,Researchers,claim,neg,vaccines have saved countless lives,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,2
0.97,one_slider,"{'subject': 'Researchers', 'verb': 'argue', 'comp': 'vaccines are effective at preventing diseases like measles'}",1,Researchers,argue,neg,vaccines are effective at preventing diseases like measles,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,2
0.41,one_slider,"{'subject': 'Scientists', 'verb': 'suspect', 'comp': 'we need to be more aware of the risks posed by vaccines'}",1,Scientists,suspect,pos,we need to be more aware of the risks posed by vaccines,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,1
0.02,one_slider,"{'subject': 'Researchers', 'verb': 'insist', 'comp': 'vaccine benefits are exaggerated and vaccine risks are downplayed by pharmaceutical companies'}",1,Researchers,insist,neg,vaccine benefits are exaggerated and vaccine risks are downplayed by pharmaceutical companies,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,2
0.02,one_slider,"{'subject': 'Doctors', 'verb': 'point out', 'comp': 'vaccines are not as effective as people think'}",1,Doctors,point out,pos,vaccines are not as effective as people think,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,3
0.98,one_slider,"{'subject': 'Researchers', 'verb': 'argue', 'comp': 'the study linking vaccines to autism has been debunked'}",1,Researchers,argue,neg,the study linking vaccines to autism has been debunked,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,2
0.99,one_slider,"{'subject': 'Doctors', 'verb': 'show', 'comp': 'the benefits of getting vaccinated far outweigh the risks'}",1,Doctors,show,pos,the benefits of getting vaccinated far outweigh the risks,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,3
0.01,one_slider,"{'subject': 'Doctors', 'verb': 'find', 'comp': 'getting vaccinated can pose serious risks'}",1,Doctors,find,pos,getting vaccinated can pose serious risks,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,1,3
0.03,one_slider,"{'subject': 'Doctors', 'verb': 'believe', 'comp': 'the absolute safety of vaccines is a misconception'}",1,Doctors,believe,neut,the absolute safety of vaccines is a misconception,-1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,0,3
0.98,one_slider,"{'subject': 'Doctors', 'verb': 'insist', 'comp': 'without the vaccine, the epidemic would have been far more widespread'}",1,Doctors,insist,neg,without the vaccine,1.000000,english,1,Yes,32,Female,3,none,the price stated,1591146548951,4.280233333333333,1,"[{'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.98}, {'trial_type': 'own_stance', 'response': 0.02}, {'trial_type': 'own_stance', 'response': 0.97}]",2.91,-1,3
